contrast,dissimilarity,homogeneity,energy,correlation,entropy,asm
[0.0],[0.0],[1.0],[0.00798332067276195],[238557330288.16827],[5.162318709555334],[0.00798332067276195]
[0.0],[0.0],[1.0],[0.04249687679551557],[64599981663.92852],[4.498689037710778],[0.04249687679551557]
[0.0],[0.0],[1.0],[0.14949381597233186],[19491620167.150005],[3.6345138564317097],[0.14949381597233186]
[0.0],[0.0],[1.0],[0.007332918794859795],[276667844022.8043],[5.238737606413893],[0.007332918794859795]
[0.0],[0.0],[1.0],[0.011746981827138318],[216111927422.5389],[4.823139741901568],[0.011746981827138318]
[0.0],[0.0],[1.0],[0.014032812710297547],[167679770713.18588],[5.02161664432308],[0.014032812710297547]
[0.0],[0.0],[1.0],[0.01696709357990581],[140126906600.5287],[4.897696682225293],[0.01696709357990581]
[0.0],[0.0],[1.0],[0.12915016440339222],[22157730811.82816],[3.7302342344864767],[0.12915016440339222]
[0.0],[0.0],[1.0],[0.06472295089738878],[49024946761.98401],[3.7733197811511814],[0.06472295089738878]
[0.0],[0.0],[0.9999999999999999],[0.054974277554660604],[59848653118.304726],[3.8614581460167177],[0.054974277554660604]
[0.0],[0.0],[1.0],[0.04557680515142132],[44525410755.647736],[4.227301714416163],[0.04557680515142132]
[0.0],[0.0],[1.0],[0.008208688067838837],[139786833212.11557],[5.2682116823118985],[0.008208688067838837]
[0.0],[0.0],[1.0],[0.11341915572375157],[25337148808.521378],[3.715479973722165],[0.11341915572375157]
[0.0],[0.0],[0.9999999999999999],[0.12003523950212747],[22897999071.5038],[3.737553581762935],[0.12003523950212747]
[0.0],[0.0],[1.0],[0.06058169563608542],[45398657862.44296],[4.249309201565797],[0.06058169563608542]
[0.0],[0.0],[0.9999999999999999],[0.045259341625112436],[57459688207.94557],[4.340213632062124],[0.045259341625112436]
[0.0],[0.0],[1.0],[0.07972788074602132],[33527795296.647366],[4.017998396972904],[0.07972788074602132]
[0.0],[0.0],[1.0],[0.12848757733871005],[22953588682.8479],[3.5017974138011985],[0.12848757733871005]
[0.0],[0.0],[0.9999999999999999],[0.08223503806602567],[32461941787.404556],[4.043649567674549],[0.08223503806602567]
[0.0],[0.0],[1.0],[0.0747506472858565],[37716214258.9152],[3.9632472416488462],[0.0747506472858565]
[0.0],[0.0],[1.0],[0.056796778462460965],[44189190037.26152],[4.3226358424414],[0.056796778462460965]
[0.0],[0.0],[1.0],[0.061749843863422894],[55535406585.04305],[3.3738884321404368],[0.061749843863422894]
[0.0],[0.0],[1.0],[0.0711700412925299],[40209065319.1428],[3.9813746905779457],[0.0711700412925299]
[0.0],[0.0],[1.0],[0.080523068953981],[36259897074.26103],[3.6108763196733356],[0.080523068953981]
[0.0],[0.0],[1.0],[0.010140066358473311],[197425463313.20007],[5.1511787006501635],[0.010140066358473311]
[0.0],[0.0],[1.0],[0.013998482139097497],[134022740031.91812],[5.145315862849567],[0.013998482139097497]
[0.0],[0.0],[1.0],[0.051057080588908066],[53617525357.46324],[4.311126199250689],[0.051057080588908066]
[0.0],[0.0],[1.0],[0.01537245754507685],[146694704680.90427],[4.985190666247229],[0.01537245754507685]
[0.0],[0.0],[1.0],[0.023465708278122346],[102365427075.9962],[4.776310231108566],[0.023465708278122346]
[0.0],[0.0],[1.0],[0.061428228741362674],[43362160737.41924],[4.243035301582847],[0.061428228741362674]
[0.0],[0.0],[1.0],[0.03511618783052982],[71025388024.01886],[4.428117341314314],[0.03511618783052982]
[0.0],[0.0],[1.0],[0.011936503508909992],[137013522612.55447],[4.789986728431245],[0.011936503508909992]
[0.0],[0.0],[1.0],[0.038681620605397794],[64853095806.8122],[4.528536155003779],[0.038681620605397794]
[0.0],[0.0],[0.9999999999999999],[0.041562136114567806],[58390890064.83649],[4.565247188408551],[0.041562136114567806]
[0.0],[0.0],[1.0],[0.014477401321131827],[92576310419.12743],[4.759935211660286],[0.014477401321131827]
